"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2022-12-30","15:15:00",3820.13,"41 Jan 3 3830 C BTO 15.10 | 41 Jan 3 3880 C STO 2.35",-1300,3860.76,"2023-01-03","09:35:00",-2795,"Exited at Specified Time",61085.08,114.60615384615384,41,606407.4,53300,"",145.96,63.96,0.156,0.192,21.69,23,-20.22,-8.93,138.46,-5.38
"2022-12-28","15:15:00",3785.97,"47 Dec 29 3800 C BTO 11.70 | 47 Dec 29 3850 C STO 1.50",-1045,3814.7,"2022-12-29","09:35:00",-2040,"Exited at Specified Time",46524.36,94.72535885167464,47,545322.32,49115,"",167.32,73.32,0.128,0.088,22.12,21.89,0.31,-43.59,97.61,-16.27
"2022-12-27","15:15:00",3833.91,"52 Dec 28 3845 C BTO 10.30 | 52 Dec 28 3895 C STO 1.05",-950,3842.19,"2022-12-28","09:35:00",-1045,"Exited at Specified Time",4673.76,9.461052631578948,52,498797.96,49400,"",185.12,81.12,0.102,0.036,21.68,21.59,-1.48,-9.43,20,-38.95
"2022-12-22","15:15:00",3801.71,"43 Dec 23 3815 C BTO 13.20 | 43 Dec 23 3865 C STO 2.40",-1105,3815.53,"2022-12-23","09:35:00",-1410,"Exited at Specified Time",12894.84,27.138461538461538,43,494124.2,47515,"",153.08,67.08,0.182,0.133,22.25,21.86,-25.18,-51.55,73.76,0
"2022-12-19","15:15:00",3801.89,"45 Dec 20 3815 C BTO 12.00 | 45 Dec 20 3865 C STO 1.65",-1060,3809.23,"2022-12-20","09:35:00",-1075,"Exited at Specified Time",444.6,0.9320754716981133,45,481229.36,47700,"",160.2,70.2,0.138,0.079,22.55,22.51,1.43,-51.9,52.36,-2.36
"2022-12-16","15:15:00",3852.91,"38 Dec 19 3865 C BTO 16.50 | 38 Dec 19 3915 C STO 3.60",-1315,3845.55,"2022-12-19","09:35:00",-540,"Exited at Specified Time",-29644.56,-59.32471482889734,38,480784.76,49970,"",135.28,59.28,0.218,0.058,22.2,22.6,-4.84,-38,28.14,-57.03
"2022-12-15","15:15:00",3898.41,"44 Dec 16 3915 C BTO 15.65 | 44 Dec 16 3965 C STO 3.50",-1240,3873.34,"2022-12-16","09:35:00",-445,"Exited at Specified Time",-35205.28,-64.5258064516129,44,510429.32,54560,"",156.64,68.64,0.224,0.138,22.73,23.03,-36.95,-59.96,20.16,-62.1
"2022-12-13","15:15:00",4004.43,"31 Dec 14 4030 C BTO 29.30 | 31 Dec 14 4080 C STO 12.60",-1695,4028.82,"2022-12-14","09:35:00",-1960,"Exited at Specified Time",8056.28,15.332153392330383,31,545634.6,52545,"",110.36,48.36,0.43,0.401,23.19,22.64,78.82,-64.95,23.89,0
"2022-12-07","15:15:00",3928.26,"46 Dec 8 3940 C BTO 12.60 | 46 Dec 8 3990 C STO 1.60",-1125,3941.35,"2022-12-08","09:35:00",-1345,"Exited at Specified Time",9884.48,19.100444444444445,46,537578.32,51750,"",163.76,71.76,0.127,0.081,22.82,23.18,-7.98,-5.02,48.89,-15.56
"2022-12-06","15:15:00",3927.27,"47 Dec 7 3940 C BTO 12.00 | 47 Dec 7 3990 C STO 1.45",-1080,3943.78,"2022-12-07","09:35:00",-1495,"Exited at Specified Time",19264.36,37.951851851851856,47,527693.84,50760,"",167.32,73.32,0.121,0.131,22.19,22.63,-2.21,-69.36,48.15,-17.59
"2022-12-05","15:15:00",3996.29,"44 Dec 6 4005 C BTO 13.10 | 44 Dec 6 4055 C STO 1.65",-1170,3998.97,"2022-12-06","09:35:00",-825,"Exited at Specified Time",-15405.28,-29.924786324786325,44,508429.48,51480,"",156.64,68.64,0.126,0.056,20.92,20.49,-19.68,-55.73,0,-29.91
"2022-12-01","15:15:00",4078.67,"43 Dec 2 4095 C BTO 17.10 | 43 Dec 2 4145 C STO 4.00",-1335,4039.19,"2022-12-02","09:35:00",-150,"Exited at Specified Time",-51175.16,-89.14756554307117,43,523834.76,57405,"",153.08,67.08,0.234,0.079,20.22,20.34,7.03,-8.47,16.1,-88.76
"2022-11-29","15:15:00",3954.84,"42 Nov 30 3970 C BTO 16.00 | 42 Nov 30 4020 C STO 2.85",-1340,3964.55,"2022-11-30","09:35:00",-1545,"Exited at Specified Time",8394.96,14.91641791044776,42,575009.92,56280,"",149.52,65.52,0.178,0.158,22.01,22.01,0.25,-9.35,17.16,-8.96
"2022-11-28","15:15:00",3959.16,"57 Nov 29 3970 C BTO 10.50 | 57 Nov 29 4020 C STO 0.85",-990,3968.57,"2022-11-29","09:35:00",-990,"Exited at Specified Time",-291.84,-0.5171717171717171,57,566614.96,56430,"",202.92,88.92,0.081,0.033,22.37,22.2,-20.76,-46.2,14.14,-20.71
"2022-11-21","15:15:00",3951.92,"55 Nov 22 3965 C BTO 10.80 | 55 Nov 22 4015 C STO 1.10",-995,3966.03,"2022-11-22","09:35:00",-1200,"Exited at Specified Time",10993.4,20.088442211055277,55,566906.8,54725,"",195.8,85.8,0.102,0.035,22.57,22.16,-9.11,-4.31,53.27,-24.62
"2022-11-18","15:15:00",3959.3,"44 Nov 21 3970 C BTO 15.45 | 44 Nov 21 4020 C STO 2.60",-1310,3952.39,"2022-11-21","09:35:00",-670,"Exited at Specified Time",-28385.28,-49.24580152671756,44,555913.4,57640,"",156.64,68.64,0.168,0.048,23.22,23.66,19.83,-7.09,32.44,-46.95
"2022-11-16","15:15:00",3958.3,"49 Nov 17 3970 C BTO 15.20 | 49 Nov 17 4020 C STO 2.55",-1290,3914.2,"2022-11-17","09:35:00",-130,"Exited at Specified Time",-57090.88,-90.31937984496123,49,584298.68,63210,"",174.44,76.44,0.168,0.114,24.17,24.83,-14.91,-18.52,18.6,-87.98
"2022-11-15","15:15:00",3992.05,"48 Nov 16 4005 C BTO 17.15 | 48 Nov 16 4055 C STO 3.60",-1380,3982.33,"2022-11-16","09:35:00",-670,"Exited at Specified Time",-34325.76,-51.82028985507247,48,641389.56,66240,"",170.88,74.88,0.21,0.067,24.09,24.46,49.16,-14.36,17.03,-56.16
"2022-11-09","15:15:00",3761.49,"35 Nov 10 3785 C BTO 29.00 | 35 Nov 10 3835 C STO 12.90",-1635,3873.98,"2022-11-10","09:35:00",-4400,"Exited at Specified Time",96595.8,168.8,35,675715.32,57225,"",124.6,54.6,0.445,0.513,26.09,23.81,-17.17,-49.45,177.68,-19.57
"2022-11-04","15:15:00",3756.96,"40 Nov 7 3770 C BTO 17.00 | 40 Nov 7 3820 C STO 3.40",-1385,3783.21,"2022-11-07","09:35:00",-1995,"Exited at Specified Time",24195.2,43.67364620938628,40,579119.52,55400,"",142.4,62.4,0.2,0.185,24.61,25.39,47.09,-10.02,58.12,-22.02
"2022-11-02","15:15:00",3821.56,"44 Nov 3 3840 C BTO 20.70 | 44 Nov 3 3890 C STO 7.25",-1370,3722.38,"2022-11-03","09:35:00",10,"Exited at Specified Time",-60945.28,-101.10364963503649,44,554924.32,60280,"",156.64,68.64,0.35,0.25,25.68,26.51,-3.2,-31.34,0,-99.27
"2022-11-01","15:15:00",3861.08,"41 Nov 2 3880 C BTO 23.60 | 41 Nov 2 3930 C STO 8.50",-1535,3841.17,"2022-11-02","09:35:00",-995,"Exited at Specified Time",-22349.92,-35.51270358306189,41,615869.6,62935,"",145.96,63.96,0.36,0.271,25.68,26.35,29.81,-40.71,2.61,-34.2
"2022-10-31","15:15:00",3869.86,"50 Nov 1 3885 C BTO 13.95 | 50 Nov 1 3935 C STO 2.85",-1135,3908.63,"2022-11-01","09:35:00",-2455,"Exited at Specified Time",65744,115.84845814977976,50,638219.52,56750,"",178,78,0.204,0.193,26.03,25.76,-19.21,-11.99,123.35,-10.13
"2022-10-27","15:15:00",3812.43,"43 Oct 28 3830 C BTO 17.55 | 43 Oct 28 3880 C STO 4.60",-1320,3825.08,"2022-10-28","09:35:00",-1395,"Exited at Specified Time",3004.84,5.293939393939395,43,572475.52,56760,"",153.08,67.08,0.262,0.142,27.15,26.75,4.09,-22.26,24.24,-18.56
"2022-10-20","15:15:00",3672.4,"48 Oct 21 3690 C BTO 15.70 | 48 Oct 21 3740 C STO 3.80",-1215,3655.4,"2022-10-21","09:35:00",-700,"Exited at Specified Time",-24965.76,-42.8082304526749,48,569470.68,58320,"",170.88,74.88,0.242,0.176,30.31,30.06,-6.11,-16.65,0.41,-40.33
"2022-10-19","15:15:00",3688.78,"45 Oct 20 3705 C BTO 17.05 | 45 Oct 20 3755 C STO 4.20",-1310,3693.13,"2022-10-20","09:35:00",-1140,"Exited at Specified Time",-7880.4,-13.36793893129771,45,594436.44,58950,"",160.2,70.2,0.246,0.137,30.89,30.67,-16.87,-14.33,14.89,-22.52
"2022-10-18","15:15:00",3697.9,"43 Oct 19 3715 C BTO 17.55 | 43 Oct 19 3765 C STO 4.40",-1340,3715.88,"2022-10-19","09:35:00",-1715,"Exited at Specified Time",15904.84,27.60298507462687,43,602316.84,57620,"",153.08,67.08,0.251,0.209,31.18,31.21,68.31,-48.36,43.66,-5.97
"2022-10-14","15:15:00",3589.14,"35 Oct 17 3610 C BTO 20.95 | 35 Oct 17 3660 C STO 6.90",-1430,3663.06,"2022-10-17","09:35:00",-3615,"Exited at Specified Time",76295.8,152.43916083916085,35,586412,50050,"",124.6,54.6,0.329,0.368,32.66,31.42,20.5,-101.27,154.55,-18.53
