time,open,high,low,close,Volume,Plot,Plot,Plot,
1762807800,6839.78,6841.32,6834.72,6839.24,,83.20264013083572,20,80,0
1762808100,6839.1,6839.1,6831.27,6831.82,,83.36118668727512,20,80,0
1762808400,6832.28,6832.71,6832.28,6832.42,,83.50666806685565,20,80,0
1762808700,6832.43,6832.43,6832.43,6832.43,,83.63999202506079,20,80,0
1762871400,6815.64,6824.21,6815.64,6820.36,,83.76140261157117,20,80,0
1762871700,6820.23,6824.85,6819.12,6822.85,,83.86510595848326,20,80,0
1762872000,6822.73,6822.84,6816.91,6820.09,,83.97083566958099,20,80,0
1762872300,6820.05,6824.34,6817.99,6818.14,,84.08420995386112,20,80,0
1762872600,6818.42,6819.43,6813.85,6818.66,,84.19911583742234,20,80,0
1762872900,6818.93,6828.65,6816.51,6827.21,,84.27609016027661,20,80,0
1762873200,6827.31,6827.31,6820.7,6820.7,,84.38232068837215,20,80,0
1762873500,6820.94,6822.25,6810.8,6818.42,,84.49907147080879,20,80,0
1762873800,6818.27,6820.46,6812.74,6814.86,,84.61674939057075,20,80,0
1762874100,6814.7,6814.7,6807.58,6808.79,,84.77415006720973,20,80,0
1762874400,6808.6,6815.03,6807.72,6814.49,,84.90902820231315,20,80,0
1762874700,6814.58,6818.42,6812.12,6814.33,,85.05809099699054,20,80,0
1762875000,6814.24,6815.87,6807.31,6809.46,,85.213750465946,20,80,0
1762875300,6809.52,6812.32,6807.37,6812.32,,85.36922983893702,20,80,0
1762875600,6812.28,6816.03,6810.5,6813.54,,85.51080147584126,20,80,0
1762875900,6813.62,6815.31,6808.2,6811.31,,85.67114329833075,20,80,0
1762876200,6811.3,6811.3,6807.13,6809.79,,85.82879119108182,20,80,0
1762876500,6809.8,6811.78,6806.87,6810.75,,85.99419560237381,20,80,0
1762876800,6810.73,6815.67,6810.18,6812.38,,86.13636612496875,20,80,0
1762877100,6813,6815.96,6812.15,6812.15,,86.26559192496558,20,80,0
1762877400,6812.45,6818.44,6812.45,6814.7,,86.37450156003109,20,80,0
1762877700,6814.6,6822.53,6814.06,6822.5,,86.46916077047915,20,80,0
1762878000,6822.42,6827.1,6820.25,6825.6,,86.547449930191,20,80,0
